"x"
"1","NC_000069.6"
"2","NC_000082.6"
"3","NC_000081.6"
"4","NC_000075.6"
"5","NC_000067.6"
"6","NC_000079.6"
"7","NC_000074.6"
"8","NC_000081.6"
"9","NC_000073.6"
"10","NC_000079.6"
"11","NC_000074.6"
"12","NC_000074.6"
"13","NC_000069.6"
"14","NC_000085.6"
"15","NC_000068.7"
"16","NC_000081.6"
"17","NC_000074.6"
"18","NC_000076.6"
"19","NC_000067.6"
"20","NC_000067.6"
"21","NC_000080.6"
"22","NC_000067.6"
"23","NC_000073.6"
"24","NC_000080.6"
"25","NC_000080.6"
"26","NC_000083.6"
"27","NC_000072.6"
"28","NC_000068.7"
"29","NC_000080.6"
"30","NC_000074.6"
"31","NC_000072.6"
"32","NC_000068.7"
"33","NC_000085.6"
"34","NC_000069.6"
"35","NC_000073.6"
"36","NC_000069.6"
"37","NC_000067.6"
"38","NC_000070.6"
"39","NC_000082.6"
"40","NC_000072.6"
"41","NC_000083.6"
"42","NC_000084.6"
"43","NC_000073.6"
"44","NC_000068.7"
"45","NC_000077.6"
"46","NC_000067.6"
"47","NC_000080.6"
"48","NC_000073.6"
"49","NC_000073.6"
"50","NC_000073.6"
"51","NC_000069.6"
"52","NC_000086.7"
"53","NC_000076.6"
"54","NC_000081.6"
"55","NC_000070.6"
"56","NC_000079.6"
"57","NC_000084.6"
"58","NC_000069.6"
"59","NC_000071.6"
"60","NC_000076.6"
"61","NC_000072.6"
"62","NC_000067.6"
"63","NC_000083.6"
"64","NC_000080.6"
"65","NC_000076.6"
"66","NC_000067.6"
"67","NC_000069.6"
"68","NC_000071.6"
"69","NC_000073.6"
"70","NC_000072.6"
"71","NC_000075.6"
"72","NC_000068.7"
"73","NC_000068.7"
"74","NC_000086.7"
"75","NC_000068.7"
"76","NC_000078.6"
"77","NC_000075.6"
"78","NC_000068.7"
"79","NC_000067.6"
"80","NC_000083.6"
"81","NC_000079.6"
"82","NC_000083.6"
"83","NC_000079.6"
"84","NC_000071.6"
"85","NC_000069.6"
"86","NC_000068.7"
"87","NC_000075.6"
"88","NC_000083.6"
"89","NC_000070.6"
"90","NC_000077.6"
"91","NC_000076.6"
"92","NC_000067.6"
"93",""
"94","NC_000082.6"
"95","NC_000083.6"
"96","NC_000076.6"
"97","NC_000071.6"
"98","NC_000083.6"
"99","NC_000067.6"
"100","NC_000086.7"
"101","NC_000083.6"
"102","NC_000086.7"
"103","NC_000075.6"
"104","NC_000082.6"
"105","NC_000086.7"
"106","NC_000069.6"
"107","NC_000072.6"
"108","NC_000075.6"
"109","NC_000072.6"
"110","NC_000074.6"
"111","NC_000083.6"
"112","NC_000068.7"
"113","NC_000077.6"
"114","NC_000073.6"
"115","NC_000076.6"
"116","NC_000077.6"
"117","NC_000072.6"
"118","NC_000077.6"
"119","NC_000072.6"
"120","NC_000080.6"
"121","NC_000083.6"
"122","NC_000068.7"
"123","NC_000080.6"
"124","NC_000076.6"
"125","NC_000079.6"
"126","NC_000085.6"
"127","NC_000082.6"
"128","NC_000084.6"
"129","NC_000072.6"
"130","NC_000070.6"
"131","NC_000076.6"
"132","NC_000072.6"
"133","NC_000069.6"
"134","NC_000083.6"
"135","NC_000083.6"
"136","NC_000076.6"
"137","NC_000079.6"
"138","NC_000076.6"
"139",""
"140","NC_000079.6"
